2024-08-06 12:59:14,930 - IP Packet: 52.168.117.169 -> 192.168.254.137 | TCP 443 -> 3029
2024-08-06 12:59:14,931 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
2024-08-06 12:59:14,932 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
2024-08-06 12:59:15,175 - IP Packet: 52.168.117.169 -> 192.168.254.137 | TCP 443 -> 3029
2024-08-06 12:59:15,176 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
2024-08-06 12:59:15,426 - IP Packet: 52.168.117.169 -> 192.168.254.137 | TCP 443 -> 3029
2024-08-06 12:59:15,428 - IP Packet: 52.168.117.169 -> 192.168.254.137 | TCP 443 -> 3029
2024-08-06 12:59:15,430 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
2024-08-06 12:59:15,431 - IP Packet: 52.168.117.169 -> 192.168.254.137 | TCP 443 -> 3029
2024-08-06 12:59:15,673 - IP Packet: 52.168.117.169 -> 192.168.254.137 | TCP 443 -> 3029
2024-08-06 12:59:15,676 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
2024-08-06 12:59:15,678 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
2024-08-06 12:59:15,679 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
2024-08-06 12:59:15,680 - IP Packet: 192.168.254.137 -> 142.251.220.138 | UDP 58556 -> 443
2024-08-06 12:59:15,692 - IP Packet: 52.168.117.169 -> 192.168.254.137 | TCP 443 -> 3029
2024-08-06 12:59:15,693 - IP Packet: 52.168.117.169 -> 192.168.254.137 | TCP 443 -> 3029
2024-08-06 12:59:15,695 - IP Packet: 142.251.220.138 -> 192.168.254.137 | UDP 443 -> 58556
2024-08-06 12:59:15,697 - IP Packet: 52.168.117.169 -> 192.168.254.137 | TCP 443 -> 3029
2024-08-06 12:59:15,698 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
2024-08-06 12:59:15,943 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
2024-08-06 12:59:15,944 - IP Packet: 192.168.254.137 -> 52.168.117.169 | TCP 3029 -> 443
